Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
L,left,剩下,https://en.wikipedia.org/wiki/Left,,
L&D,labor and delivery,分娩,https://en.wikipedia.org/wiki/Childbirth,,
LA,left atrium,心房,https://en.wikipedia.org/wiki/Atrium_(heart),,
LA,leukoaraiosis,脑白质疏松症,https://en.wikipedia.org/wiki/Leukoaraiosis,,
LAA ,left atrial appendage,心房,https://en.wikipedia.org/wiki/Atrium_(heart),,
LAAC,left atrial appendage closure,左心耳封堵,,,
LAAEV,left atrium appendage emptying velocity,左心耳附件排空速度,,,
LAAO,left atrial appendage occlusion,左心耳闭塞,https://en.wikipedia.org/wiki/Left_atrial_appendage_occlusion,,
LAAT,left atrial appendage thrombus,左心耳血栓,,,
LABA,long-acting b2-agonist,长效b2-激动剂,,,
LABD,linear IgA bullous dermatosis ,线性IgA大疱性皮肤病,https://en.wikipedia.org/wiki/Linear_IgA_bullous_dermatosis,,
LAD,left anterior descending artery,左前降支动脉,https://en.wikipedia.org/wiki/Left_anterior_descending_artery,,
LAD,linear IgA dermatosis,线性IgA皮肤病,https://en.wikipedia.org/wiki/Linear_IgA_bullous_dermatosis,,
LAD,lymphadenopathy,淋巴结肿大,https://en.wikipedia.org/wiki/Lymphadenopathy,,
LAER,late auditory evoked response,晚期听觉诱发反应,,,
LAFB,left anterior fascicular block,左前束状传导阻滞,https://en.wikipedia.org/wiki/Left_anterior_fascicular_block,,
LAHB,left anterior hemiblock,左前半阻滞,https://en.wikipedia.org/wiki/Left_anterior_fascicular_block,,
LASIK,laser-assisted in situ keratomileusis,准分子激光原位角膜磨镶术,https://en.wikipedia.org/wiki/LASIK,,
LAT,large neutral amino acid transporter,大型中性氨基酸转运蛋白,https://en.wikipedia.org/wiki/CD98,,
LAVH,Laparoscopic Assisted Vaginal Hysterectomy,腹腔镜辅助阴道子宫切除术,,,
LAVI,left atrium volume index,左心房容积指数,,,
LBBB,left bundle branch block,左束支传导阻滞,https://en.wikipedia.org/wiki/Left_bundle_branch_block,,
LBM,lean body mass,瘦体重,https://en.wikipedia.org/wiki/Lean_body_mass,,
LBN,latanoprostene bunod,拉丁美洲前列腺素,https://en.wikipedia.org/wiki/Latanoprostene_bunod,,
LBO,large bowel obstruction,肠梗阻,https://en.wikipedia.org/wiki/Bowel_obstruction,,
LBP,lower back pain,下背痛,https://en.wikipedia.org/wiki/Low_back_pain,,
LC,local control,本地控制,,,
LCIS,lobular carcinoma in situ,小叶原位癌,https://en.wikipedia.org/wiki/Lobular_carcinoma_in_situ,,
LCSW,licensed clinical social worker,执照的临床社会工作者,,,
LCX,left circumflex (coronary artery),左旋支（冠状动脉）,,,
LD,lumbar drain,腰漏,,,
LDCT,low-dose computed tomography,低剂量计算机断层扫描,,,
LDH,lactic acid dehydrogenase,乳酸脱氢酶,https://en.wikipedia.org/wiki/Lactate_dehydrogenase,,
LDH,lumbar disc herniation,椎间盘脱出症,https://en.wikipedia.org/wiki/Spinal_disc_herniation#lumbar,,
LDL,low density lipoprotein,低密度脂蛋白,https://en.wikipedia.org/wiki/Low-density_lipoprotein,,
LDL-C,ow-density lipoprotein cholesterol,低密度脂蛋白胆固醇,,,
LDLR,low-density lipoprotein receptor,低密度脂蛋白受体,https://en.wikipedia.org/wiki/LDL_receptor,,
LDLT,living donor liver transplantation,活体供体肝移植,https://en.wikipedia.org/wiki/Liver_transplantation#Living_donor_transplantation,,
LDS,Loeyse-Dietz syndrome,Loeyse-Dietz综合征,,,
LE,leukocyte esterase,白细胞酯酶,https://en.wikipedia.org/wiki/Leukocyte_esterase,,
LE,lower extremity,人腿,https://en.wikipedia.org/wiki/Human_leg,,
LE,lupus erythematosus,红斑性狼疮,https://en.wikipedia.org/wiki/Lupus_erythematosus,,
LECVD,Lower Extremity Chronic Venous Disease,下肢慢性静脉疾病,,,
LEF,leflunomide,来氟米特,https://en.wikipedia.org/wiki/Leflunomide,,
LELE,Leading Edge to Leading Edge,前沿到前沿,,,
LEMG,laryngeal electromyography,喉肌电图,,,
LES,lower esophageal sphincter,食道,https://en.wikipedia.org/wiki/Esophagus#Sphincters,,
LF,local failure,局部故障,,,
LFA-1,lymphocyte function-associated antigen-1,淋巴球功能性抗原1,https://en.wikipedia.org/wiki/Lymphocyte_function-associated_antigen_1,,
LFC,lateral femoral condyle,股外侧con,https://en.wikipedia.org/wiki/Lateral_condyle_of_femur,,
LFT,liver function test,肝功能测试,https://en.wikipedia.org/wiki/Liver_function_tests,,
LH,Laparoscopic Hysterectomy,腹腔镜子宫切除术,,,
LH,luteinizing hormone,黄体生成素,https://en.wikipedia.org/wiki/Luteinizing_hormone,,
LHM,laparoscopic Heller myotomy ,腹腔镜Heller肌切开术,,,
LHRH,luteinizing hormone-releasing hormone,促性腺激素释放激素,https://en.wikipedia.org/wiki/Gonadotropin-releasing_hormone,,
LIMA,left internal mammary artery,左乳内动脉,,,
LITT,Laser Interstitial Thermal Therapy,激光间隙热疗,,,
LKP,lamellar keratoplasty,层状角膜移植,,,
LLE,left lower extremity,左下肢,,,
LLL,left lower lobe,左下叶,,,
LLL,low level laser,低水平激光,,,
LLQ,left lower quadrant,左下象限,https://en.wikipedia.org/wiki/Quadrants_and_regions_of_abdomen,,
LM,laparoscopic myomectomy,腹腔镜子宫肌瘤切除术,,,
LM,left main coronary artery,左冠状动脉,https://en.wikipedia.org/wiki/Left_coronary_artery,,
LMCA,left main coronary artery stenosis,左主冠状动脉狭窄,,,
LMP,last menstrual period,月经,https://en.wikipedia.org/wiki/Menstruation#Onset_and_frequency,,
LMT,left main trunk,左主干,,,
LMWH,Low Molecular Weight Heparin,低分子量肝素,,,
LN,lymph node,淋巴结,https://en.wikipedia.org/wiki/Lymph_node,,
LND,lymph node dissection,淋巴结清扫术,https://en.wikipedia.org/wiki/Lymphadenectomy,,
LNF,laparoscopic Nissen fundoplication,腹腔镜尼森胃底折叠术,https://en.wikipedia.org/wiki/Nissen_fundoplication,,
LOC,level of care,护理水平,https://en.wikipedia.org/wiki/Therapy#Levels_of_care,,
LOC,level of consciousness,意识水平,https://en.wikipedia.org/wiki/Altered_level_of_consciousness,,
LOC,loss of consciousness,意识丧失,https://en.wikipedia.org/wiki/Unconsciousness,,
LOCADTR,Level of care for alcohol and drug treatment referral,酒精和药物治疗转诊的护理水平,,,
LOF,loss-of-function,突变,https://en.wikipedia.org/wiki/Mutation,,
LOLA,L-ornithine L-aspartate,L-鸟氨酸L-天门冬氨酸,,,
LOMN,letter of medical necessity,医疗必要性函,,,
LOS,length of stay,停留时间,https://en.wikipedia.org/wiki/Length_of_stay,,
LP,lumbar puncture,腰椎穿刺,https://en.wikipedia.org/wiki/Lumbar_puncture,,
LPR,Laryngopharyngeal Reflux,咽喉反流,https://en.wikipedia.org/wiki/Laryngopharyngeal_reflux,,
LQTS,long QT syndrome,长QT综合症,https://en.wikipedia.org/wiki/Long_QT_syndrome,,
LR,lactated ringer,乳酸林格氏液,https://en.wikipedia.org/wiki/Ringer%27s_lactate_solution,,
LR,likelihood ratio,似然函数,https://en.wikipedia.org/wiki/Likelihood_function#Likelihood_ratio,,
LSD,lysergic acid diethylamide,麦角酸二乙酰胺,https://en.wikipedia.org/wiki/Lysergic_acid_diethylamide,,
LSPAF,long-standing persistent atrial fibrillation,长期持续性房颤,,,
LSS,lumbar spinal stenosis,腰椎管狭窄症,https://en.wikipedia.org/wiki/Lumbar_spinal_stenosis,,
LSV,Long Saphenous Vein,长隐静脉,,,
LT,liver transplantation,肝移植,https://en.wikipedia.org/wiki/Liver_transplantation,,
LTBI,latent tuberculosis infection,潜伏性结核感染,,,
LUE,left upper extremity,左上肢,,,
LUL,left upper lobe,左上叶,,,
LUQ,left upper quadrant,左上象限,https://en.wikipedia.org/wiki/Quadrants_and_regions_of_abdomen,,
LUTS,lower urinary tract symptoms,下尿路症状,https://en.wikipedia.org/wiki/Lower_urinary_tract_symptoms,,
LV,left ventricle,心室,https://en.wikipedia.org/wiki/Ventricle_(heart),,
LV,lentivirus,慢病毒属,https://en.wikipedia.org/wiki/Lentivirus,,
LV,limb volume,肢体体积,,,
LVAD,left ventricular assist device,左心室辅助装置,https://en.wikipedia.org/wiki/Ventricular_assist_device,,
LVEDP,left ventricular end-diastolic pressure,左心室舒张末期压力,,,
LVEF,left ventricle ejection fraction,左心室射血分数,,,
LVH,left ventricular hypertrophy,左心室肥大,https://en.wikipedia.org/wiki/Left_ventricular_hypertrophy,,
LVO,Large Vessel Occlusion,大血管闭塞,,,
LVO,Left Ventricular Opacification,左室不透明化,,,
LVOTO,left ventricular outflow tract obstruction,左室流出道梗阻,https://en.wikipedia.org/wiki/Ventricular_outflow_tract_obstruction,,
Li-RADS,Liver Imaging Reporting and Data System,肝脏影像报告和数据系统,,,
logMAR,logarithm of the minimum angle of resolution,最小分辨角的对数,,,
